track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity,youtube_views,youtube_likes,tiktok_posts,tiktok_likes,tiktok_views,youtube_playlist_reach,apple_music_playlist_count,airplay_spins,siriusxm_spins,deezer_playlist_count,deezer_playlist_reach,amazon_playlist_count,pandora_streams,pandora_track_stations,soundcloud_streams,shazam_counts,explicit_track,spotify_id
fukumean,fukumean,Gunna,2023-06-15,USAT22306575,39,221.1,759998727.0,188142.0,80392612.0,80.0,94699547.0,1222012.0,1237229.0,311252391.0,3281790327.0,140623676.0,123.0,265291.0,4003.0,40.0,2225409.0,88.0,64456799.0,20518.0,33130829.0,3945184.0,True,4rXLjWdF2ZZpXCVTfWcshS
Dance Monkey,Dance Monkey,Tones And I,2019-05-10,QZES71982312,40,214.5,3071214106.0,375201.0,64901153.0,71.0,3366447481.0,27240268.0,10342366.0,393814740.0,5861939942.0,2428166573.0,549.0,573733.0,169.0,584.0,5749770.0,121.0,373294159.0,844198.0,37430204.0,44842636.0,False,2XU0oxnq2qxCpomAAuJY8K
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401994,41,212.8,214237645.0,10871.0,202626837.0,92.0,11033725.0,251373.0,251200.0,71078500.0,443104700.0,148058631.0,247.0,3400.0,8.0,67.0,11523335.0,125.0,840442.0,2592.0,1369981.0,285858.0,False,6dOtVTDdiauQNBQEDOtlAB
Cupid  Twin Ver. (FIFTY FIFTY)  Spe,Cupid  Twin Ver. (FIFTY FIFTY)  Spe,sped up 8282,2023-04-08,KRA252300672,42,211.2,170970614.0,27827.0,5784546.0,41.0,22280037.0,334523.0,14348249.0,948225544.0,12196985599.0,,2.0,672.0,,4.0,35737.0,9.0,270610.0,3170.0,,,True,76V1WuoxMcMG52jc8ifZVX
I'm Good (Blue),I'm Good (Blue),David Guetta,2022-08-26,UKWLG2200055,43,209.6,1658229422.0,262248.0,239957538.0,83.0,466080689.0,4324989.0,728093.0,54258768.0,1051836430.0,1425853925.0,285.0,935190.0,2487.0,207.0,6479623.0,168.0,139926990.0,31235.0,8007236.0,10973120.0,True,4uUG5RXrOk84mYEfFvj3cK
Daylight,Daylight,David Kushner,2023-04-14,QZXDB2300005,44,207.0,1126820069.0,177800.0,85255689.0,82.0,274070101.0,3701289.0,2557115.0,285329503.0,2578518632.0,1205538057.0,163.0,259255.0,96.0,77.0,3413707.0,80.0,28924685.0,14634.0,9505098.0,8681350.0,False,5OGZ2Mx4Cs6RCndDRycGBJ
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,2023-09-15,USJ5G2335007,45,206.2,997702304.0,105927.0,92834002.0,86.0,48093111.0,959175.0,3648759.0,857220853.0,5469808282.0,298259422.0,91.0,36285.0,2676.0,63.0,10874749.0,110.0,6151267.0,9160.0,7980051.0,2682219.0,False,3vkCueOmm7xQDoJ17W1Pm3
Please Please Please,Please Please Please,Sabrina Carpenter,2024-06-06,USUM72404101,46,205.7,59314441.0,2572.0,183043096.0,83.0,22374807.0,1026097.0,,188200.0,1200000.0,110446147.0,199.0,2359.0,2.0,73.0,13686074.0,98.0,360163.0,758.0,9883.0,47115.0,True,2tHwzyyOLoWSFqYNjeVMzj
Houdini,Houdini - Single,Dua Lipa,2023-11-09,GBAHT2301246,47,205.1,493627071.0,45300.0,87874006.0,80.0,150571504.0,1575378.0,93500.0,35970610.0,386610043.0,3129834452.0,174.0,564640.0,405.0,146.0,28246184.0,127.0,25843941.0,3694.0,1991527.0,2389957.0,False,6D8y7Bck8h11byRY88Pt2z
Danza Kuduro - Cover,GEKIATU BEST AGE SONG - CLUB SONG,MUSIC LAB JPN,2024-05-02,TCJPA2415647,48,204.4,1655575417.0,9.0,85.0,,,,,,,,,,,,,,,,,,True,6brxvFu3c7du9SFzXcOw8S
If We Ever Broke Up,If We Ever Broke Up,Mae Stephens,2023-02-10,GBUM72300969,49,203.6,304929492.0,43923.0,46133083.0,69.0,61986821.0,921044.0,13872768.0,390207653.0,5684815935.0,19218089.0,78.0,92638.0,822.0,41.0,3467570.0,36.0,7444354.0,7188.0,,2227494.0,True,6maTPqynTmrkWIralgGaoP
Despacito,Despacito (Featuring Daddy Yankee),Luis Fonsi,2017-01-13,USUM71607007,50,203.5,1747093405.0,178114.0,49464650.0,74.0,9537135721.0,61799279.0,799338.0,78304409.0,1143297071.0,569548901.0,179.0,121234.0,116.0,145.0,1977014.0,118.0,266603596.0,2359900.0,,19622551.0,False,6habFhsOp2NvshLv26DqMb
euphoria,euphoria,Kendrick Lamar,2024-04-30,USUG12402839,51,202.1,168434320.0,17168.0,62516401.0,86.0,53604746.0,1846535.0,,,,174375427.0,65.0,6408.0,77.0,20.0,428378.0,31.0,3156727.0,4843.0,4304870.0,654482.0,True,77DRzu7ERs0TX3roZcre7Q
Panda Basi,Panda Basi - EP,Mvua,2023-02-10,GX3Q92333626,52,200.3,104271.0,249.0,8585.0,25.0,2457026781.0,,190.0,36666.0,393580.0,,,12.0,,,,,,,,1881.0,False,4vI1Z6EL8bqA7YE1fKzRyp
Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,2022-08-25,NGA3B2214021,53,198.0,1391688322.0,163876.0,130963116.0,77.0,902742581.0,8099187.0,599.0,48035.0,2857920.0,750030685.0,316.0,1107265.0,,112.0,11937930.0,146.0,52073859.0,41487.0,5820026.0,3521951.0,False,0WtM2NBVQNNJLh6scP13H8
Shape of You,Shape of You,Ed Sheeran,2017-01-06,GBAHS1600463,54,195.1,3909458734.0,316378.0,148037882.0,80.0,8013997219.0,45770887.0,2270315.0,194420058.0,2320856331.0,2294804623.0,465.0,402829.0,282.0,512.0,2710931.0,115.0,733565655.0,651557.0,78149375.0,1146246.0,False,7qiZfU4dY1lWllzX7mPBI3
Mitu,Mitu - Single,Maian,2023-01-19,EEUM72300001,55,194.3,55346.0,42.0,16861.0,13.0,2432265978.0,8162101.0,,,,,,53.0,,,,,,,,200.0,False,1qO4oqUTzmtZd960LCuDUD
Blinding Lights,Blinding Lights,The Weeknd,2019-11-29,USUG11904206,56,194.0,4281468720.0,590392.0,165544011.0,83.0,833807130.0,10093211.0,2882064.0,337322563.0,3501177394.0,2258085924.0,859.0,1695240.0,1116.0,564.0,11701129.0,184.0,489299762.0,319634.0,28659471.0,28994660.0,False,0VjIjW4GlUZAMYd2vXMi3b
Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin,2022-12-02,USUG12208791,57,192.3,1337619917.0,228295.0,64806723.0,80.0,193982443.0,2023998.0,423714.0,148085419.0,1268862678.0,444033037.0,152.0,952186.0,34.0,58.0,2134791.0,66.0,77382416.0,28694.0,,6205060.0,True,2dHHgzDwk4BJdRwy9uXhTO
Dona Felicidade,Dona Felicidade,Patati Patat,2024-06-04,QZNJW2423715,58,190.0,,2.0,41206.0,,52480069.0,82092.0,,,,,,,,1.0,1657.0,,,,,,False,
Danza Kuduro - Cover,YOUGAKU MORIMORI CLUB MEDLEY,MUSIC LAB JPN,2024-04-29,TCJPA2420090,59,190.0,1655575417.0,1.0,3.0,,,,,,,,,,,,,,,,,,True,6D0R5A2SU07wV4oVebMA9s
Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,2022-09-22,GBUM72205415,60,189.1,1556275789.0,210583.0,95974138.0,74.0,254051906.0,3364206.0,2379787.0,683088623.0,7945975878.0,1524133775.0,203.0,718849.0,117.0,63.0,1616564.0,167.0,111398743.0,71335.0,10424892.0,10192485.0,False,0NZPBYD5qbEWRs3PrGiRkT
Stereo Love - Melodic,Stereo Love Deluxe (feat. Vika Jigulina),Edward Maya,2024-06-05,ROCMA2413380,61,187.9,,2.0,135.0,9.0,,,,,,,,,,,,,420235997.0,885123.0,,,False,3P7TBM3lLffnb9tAi8P9R3
Very Cute Melody by Marimba Tone (39813),Very Cute Melody by Marimba Tone (39813),mitsu sound,2023-12-31,RUA1H2406425,62,186.5,1384.0,2.0,801.0,,222076.0,5430.0,5013500.0,605320683.0,8811416708.0,,,,,,,,,,,,False,
Supernova,Supernova,aespa,2024-05-13,KRA302400090,63,186.1,69729033.0,2483.0,21046278.0,81.0,111310770.0,1724693.0,56600.0,61038623.0,393973528.0,32059104.0,40.0,709.0,13.0,7.0,544322.0,14.0,45515.0,100.0,255951.0,63283.0,False,2VdSktBqFfkW7y6q5Ik4Z4
Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,2022-05-06,QM6MZ2214877,64,184.8,1811990630.0,173358.0,67603671.0,79.0,1516863120.0,8870768.0,4506600.0,549886060.0,6470937272.0,934894575.0,124.0,77120.0,327.0,44.0,14871714.0,63.0,111324744.0,39123.0,,3393920.0,True,6Sq7ltF9Qa7SNFBsV5Cogx
Back That Azz Up (feat. Lil Wayne & Mannie Fresh),400 Degreez (Deluxe Edition),JUVENILE,2024-03-29,USCM52400059,65,181.4,199929812.0,4.0,98.0,,,,,,,,1.0,,,,,,390345308.0,399793.0,,,True,0O9ruizHgAtRUP5WLqGQdf
Calm Down,Calm Down,Rema,2022-02-10,NGA3B2214004,66,180.1,584427088.0,182994.0,19203258.0,68.0,1141904909.0,8766235.0,6129450.0,856216952.0,18216656774.0,2952879912.0,138.0,191634.0,759.0,53.0,3481756.0,45.0,98290873.0,46039.0,14668216.0,22563407.0,False,6hgoYQDUcPyCz7LcTUHKxa
CARNIVAL,CARNIVAL,$,2024-02-08,QZ7XS2400012,67,179.6,466887055.0,53842.0,103935623.0,84.0,27688666.0,449112.0,,,,33817299.0,42.0,53333.0,,11.0,199915.0,29.0,1359484.0,11303.0,11703609.0,1982000.0,True,2McT2fkH0VDqPsbiB9HWPq
Kill Bill,SOS,SZA,2022-12-08,USRC12204584,68,177.7,1873746537.0,190202.0,99546318.0,82.0,220538045.0,3153793.0,266430.0,152410048.0,1284413960.0,426461749.0,214.0,655242.0,5448.0,73.0,1304067.0,122.0,57350590.0,61270.0,16992932.0,4873832.0,False,1Qrg8KqiBpW07V7PNxwwwL
"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,2023-07-13,USUM72307484,69,177.6,891720245.0,114560.0,97542546.0,82.0,144741616.0,2761964.0,1443103.0,498822693.0,3998086216.0,1384310160.0,168.0,275119.0,68.0,108.0,10920686.0,111.0,39374594.0,19921.0,5418596.0,4476509.0,False,6wf7Yu7cxBSPrRlWeSeK0Q
Babba,Black Book ID's: Chapter 5 - EP,Guy Mac,2023-03-03,QZA742305720,70,176.2,46567.0,252.0,21930.0,6.0,2038459981.0,6076902.0,,,,,2.0,29.0,,,,,1456.0,,,903.0,False,5SYVnskeo5AbzDfg4DlROs
Heat Waves,Heat Waves,Glass Animals,2020-06-29,GBUM72000433,71,175.0,2996181078.0,486278.0,112416489.0,82.0,1272898075.0,14947520.0,1416295.0,513334446.0,5518429969.0,4899313022.0,459.0,1414326.0,1434.0,170.0,11862378.0,95.0,122247640.0,160431.0,,17848778.0,False,3USxtqRwSYz57Ewm6wWRMp
In the End,Papercuts,Linkin Park,2024-04-12,USWB11201322,72,174.8,2045512421.0,97.0,488602.0,,,,,,,,,,,,,2.0,,,,,False,5DXGHZ3QDh0FcLXPMWTv9U
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,2023-01-11,UYB282301031,73,174.3,946941510.0,100130.0,74836321.0,74.0,776436101.0,12951756.0,4210895.0,797017650.0,11936401096.0,457987382.0,110.0,165670.0,180.0,106.0,4971379.0,92.0,48806666.0,10225.0,,2237762.0,False,4nrPB8O7Y7wsOCJdgXkthe
The Way We Move - Extended Mix,The Way We Move,PowerDress,2023-03-10,UKACT2330463,74,173.6,7909.0,38.0,15023.0,4.0,1999374091.0,5708577.0,,,,,,59.0,,,,,,,,1412.0,False,3MTK8iRSs1etQTH2vWZyvY
Old Town Road,Old Town Road,Lil Nas X,2019-03-14,USSM11901941,75,170.3,1010494713.0,127393.0,18652312.0,67.0,3203314695.0,41487213.0,5757883.0,187301054.0,1981431049.0,939714925.0,63.0,49780.0,2195.0,64.0,397418.0,100.0,181784010.0,2022074.0,106880548.0,8856633.0,False,0F7FA14euOIX8KcbEturGH
un x100to,un x100to,Grupo Frontera,2023-04-17,QM6N22311285,76,170.2,1008495696.0,99381.0,57394938.0,75.0,878892413.0,4425283.0,796603.0,127651887.0,1669065906.0,1522934425.0,101.0,73481.0,225.0,42.0,5734172.0,81.0,55857743.0,15528.0,,2283747.0,False,2yzshFeBIwH8tWIqHEFLeD
Laxed  Sire,Laxed (Siren Beat),Jawsh 685,2020-04-24,NZAM02001128,77,168.9,,10230.0,1142937.0,,12489728.0,339414.0,42900000.0,919945708.0,12221514692.0,,,,,,,,5678792.0,,,,False,
Sprinter,Sprinter - Single,Dave,2023-06-01,GBUM72305159,78,168.1,692512930.0,199828.0,55464762.0,78.0,219666692.0,2332307.0,731797.0,130560533.0,1254944697.0,918145630.0,155.0,42082.0,36.0,41.0,1790031.0,76.0,411656.0,3414.0,12405917.0,3093667.0,True,2FDTHlrBguDzQkp7PVj16Q
CHIHIRO,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401988,79,167.8,169410711.0,11028.0,144854768.0,90.0,19402457.0,997411.0,284.0,,,260377114.0,185.0,1008.0,,53.0,20737850.0,59.0,521322.0,698.0,1680434.0,388625.0,False,7BRD7x5pt8Lqa1eGYC4dzj
TQG,TQG,KAROL G,2023-02-23,USUM72222541,80,167.8,1024381758.0,78554.0,69319589.0,78.0,1102289596.0,8953293.0,457111.0,15048444.0,248168852.0,1174053183.0,138.0,149584.0,38.0,84.0,8850320.0,131.0,68022934.0,16511.0,164895.0,3488226.0,True,0DWdj2oZMBFSzRsi2Cvfzf
Perfect,(Deluxe),Ed Sheeran,2017-03-03,GBAHS1700024,81,167.5,2969999682.0,280165.0,116921604.0,81.0,6473698897.0,39632673.0,6642975.0,601244764.0,7647479866.0,1708317539.0,208.0,263386.0,129.0,343.0,1242581.0,102.0,617483078.0,595052.0,,,False,0tgVpDi06FyKpA1z0VMD4v
Pepas,Pepas,Farruko,2021-06-24,USSD12100307,82,167.3,1500499584.0,359502.0,125112486.0,74.0,1431591689.0,11553088.0,2866181.0,290811371.0,4067248819.0,782475986.0,258.0,240677.0,438.0,137.0,4015523.0,102.0,120046948.0,89582.0,6227.0,17210946.0,True,5fwSHlTEWpluwOM0Sxnh5k
